Код	НаименованиеЕдиницыИзмерения	УсловноеОбозначениеНациональное	УсловноеОбозначениеМеждународное	КодовоеБуквенноеОбозначениеНациональное	КодовоеБуквенноеОбозначениеМеждународное
599	Тысяча кубических метров в сутки	1000 м3/сут		ТЫС М3/СУТ	TQD
616	Бобина	боб		БОБ	NBB
625	Лист	л.		ЛИСТ	LEF
626	Сто листов	100 л.		100 ЛИСТ	CLF
630	Тысяча стандартных условных кирпичей	тыс станд. усл. кирп		ТЫС СТАНД УСЛ КИРП	MBE
641	Дюжина (12 шт.)	дюжина	"Doz
12"	ДЮЖИНА	DZN
657	Изделие	изд		ИЗД	NAR
683	Сто ящиков	100 ящ.	Hbx	100 ЯЩ	HBX
704	Набор	набор		НАБОР	SET
715	Пара (2 шт.)	пар	"pr
2"	ПАР	NPR
730	Два десятка	20	20	2 ДЕС	SCO
732	Десять пар	10 пар		ДЕС ПАР	TPR
733	Дюжина пар	дюжина пар		ДЮЖИНА ПАР	DPR
734	Посылка	посыл		ПОСЫЛ	NPL
735	Часть	часть		ЧАСТЬ	NPT
736	Рулон	рул		РУЛ	NPL
737	Дюжина рулонов	дюжина рул		ДЮЖИНА РУЛ	DRL
740	Дюжина штук	дюжина шт		ДЮЖИНА ШТ	DPC
745	Элемент	элем	CI	ЭЛЕМ	NCL
778	Упаковка	упак		УПАК	NMP
780	Дюжина упаковок	дюжина упак		ДЮЖИНА УПАК	DZP
781	Сто упаковок	100 упак		100  УПАК	CNP
796	Штука	шт	"pc
1"	ШТ	"PCE
NMB"
797	Сто штук	100 шт	100	100 ШТ	CEN
798	Тысяча штук	"тыс. шт
1000 шт"	1000	ТЫС ШТ	MIL
799	Миллион штук	10^6 шт	10^6	МЛН ШТ	MIO
800	Миллиард штук	10^9 шт	10^9	МЛРД ШТ	MLD
801	"Биллион штук (Европа)
Триллион штук"	10^12 шт	10^12	"БИЛЛ ШТ (ЕВР)
ТРИЛЛ ШТ"	BIL
802	Квинтильон штук (Европа)	10^18 шт	10^18	КВИНТ ШТ	TRL
820	Крепость спирта по массе	креп. спирта по массе	% mds	КРЕП СПИРТ ПО МАСС	ASM
821	Крепость спирта по объему	креп. спирта по объему	% vol	КРЕП СПИРТ ПО ОБЪЕМ	ASV
831	Литр чистого (100%) спирта	л 100% спирта		Л ЧИСТ СПИРТ	LPA
833	Гектолитр чистого (100%) спирта	Гл 100% спирта		ГЛ ЧИСТ СПИРТ	HPA
841	Килограмм пероксида водорода	кг H(2)0(2)		КГ ПЕРОКСИД ВОДОРОДА	
845	Килограмм 90%-го сухого вещества	кг 90% с/в		КГ 90 ПРОЦ СУХ ВЕЩ	KSD
847	Тонна 90%-го сухого вещества	т 90% с/в		Т 90 ПРОЦ СУХ ВЕЩ	TSD
852	Килограмм оксида калия	кг К(2)О		КГ ОКСИД КАЛИЯ	KPO
859	Килограмм гидроксида калия	кг КОН		КГ ГИДРОКСИД КАЛИЯ	KPH
861	Килограмм азота	кг N		КГ АЗОТ	KNI
863	Килограмм гидроксида натрия	кг NaOH		КГ ГИДРОКСИД НАТРИЯ	KSH
865	Килограмм пятиокиси фосфора	кг Р(2)О(5)		КГ ПЯТИОКИСЬ ФОСФОРА	KPP
867	Килограмм урана	кг U		КГ УРАН	KUR
018	Погонный метр	пог. м		ПОГ М	
019	Тысяча погонных метров	1000 пог. м		ТЫС ПОГ М	
020	Условный метр	усл. м		УСЛ М	
048	Тысяча условных метров	1000 усл. м		ТЫС УСЛ М	
049	Километр условных труб	км усл. труб		КМ УСЛ ТРУБ	
054	Тысяча квадратных дециметров	1000 дм2		ТЫС ДМ2	
056	Миллион квадратных дециметров	10^6 дм2		МЛН ДМ2	
057	Миллион квадратных метров	10^6 м2		МЛН М2	
060	Тысяча гектаров	1000 га		ТЫС ГА	
062	Условный квадратный метр	усл. м2		УСЛ М2	
063	Тысяча условных квадратных метров	1000 усл. м2		ТЫС УСЛ М2	
064	Миллион условных квадратных метров	10^6 усл. м2		МЛН УСЛ М2	
081	Квадратный метр общей площади	м2 общ. пл		М2 ОБЩ ПЛ	
082	Тысяча квадратных метров общей площади	1000 м2 общ. пл		ТЫС М2 ОБЩ ПЛ	
083	Миллион квадратных метров общей площади	10^6 м2 общ. пл		МЛН М2. ОБЩ ПЛ	
084	Квадратный метр жилой площади	м2  жил. пл		М2 ЖИЛ ПЛ	
085	Тысяча квадратных метров жилой площади	1000 м2 жил. пл		ТЫС М2 ЖИЛ ПЛ	
086	Миллион квадратных метров жилой площади	10^6 м2 жил. пл		МЛН М2 ЖИЛ ПЛ	
087	Квадратный метр учебно - лабораторных зданий	м2  уч. лаб. здан		М2 УЧ.ЛАБ ЗДАН	
088	Тысяча квадратных метров учебно - лабораторных зданий	1000 м2 уч. лаб. здан		ТЫС М2 УЧ.ЛАБ ЗДАН	
089	Миллион квадратных метров в двухмиллиметровом исчислении	10^6 м2 2 мм исч		МЛН  М2 2ММ ИСЧ	
114	Тысяча кубических метров	1000 м3		ТЫС МЗ	
115	Миллиард кубических метров	10^9 м3		МЛРД М3	
116	Декалитр	дкл		ДКЛ	
119	Тысяча декалитров	1000 дкл		ТЫС ДКЛ	
120	Миллион декалитров	10^6 дкл		МЛН ДКЛ	
121	Плотный кубический метр	плотн. м3		ПЛОТН МЗ	
123	Условный кубический метр	усл. м3		УСЛ М3	
124	Тысяча условных кубических метров	1000 усл. м3		ТЫС УСЛ МЗ	
125	Миллион кубических метров переработки газа	10^6 м3 перераб. газа		МЛН МЗ ПЕРЕРАБ ГАЗА	
127	Тысяча плотных кубических метров	1000 плотн. м3		ТЫС ПЛОТН МЗ	
128	Тысяча полулитров	1000 пол. л		ТЫС ПОЛ Л	
129	Миллион полулитров	10^6 пол. л		МЛН ПОЛ Л	
130	Тысяча литров	1000 л		ТЫС Л	
165	Тысяча каратов метрических	1000 кар		ТЫС КАР	
167	Миллион каратов метрических	10^6 кар		МЛН КАР	
169	Тысяча тонн	1000 т		ТЫС Т	
171	Миллион тонн	10^6 т		МЛН Т	
172	Тонна условного топлива	т усл. топл		Т УСЛ ТОПЛ	
175	Тысяча тонн условного топлива	1000 т усл. топл		ТЫС Т УСЛ ТОПЛ	
176	Миллион тонн условного топлива	10^6 т усл. топл		МЛН Т УСЛ ТОПЛ	
177	Тысяча тонн единовременного хранения	1000 т единовр. хран		ТЫС Т ЕДИНОВР ХРАН	
178	Тысяча тонн  переработки	1000 т перераб		ТЫС Т ПЕРЕРАБ	
179	Условная тонна Т	усл. т		УСЛ Т	
207	Тысяча центнеров	10^3  ц		ТЫС Ц	
226	Вольт - ампер	В.А		В.А	
231	Метр в час	м/ч		М/Ч	
232	Килокалория	ккал		ККАЛ	
233	Гигакалория	Гкал		ГИГАКАЛ	
234	Тысяча гигакалорий	1000 Гкал		ТЫС ГИГАКАЛ	
235	Миллион гигакалорий	10^6 Гкал		МЛН ГИГАКАЛ	
236	Калория в час	кал/ч		КАЛ/Ч	
237	Килокалория в час	ккал/ч		ККАЛ/Ч	
238	Гигакалория в час	Гкал/ч		ГИГАКАЛ/Ч	
239	Тысяча гигакалорий в час	1000 Гкал/ч		ТЫС ГИГАКАЛ/Ч	
241	Миллион ампер - часов	10^6 А.ч		МЛН А.Ч	
242	Миллион киловольт - ампер	10^6 кВ.А		МЛН КВ.А	
248	Киловольт - ампер реактивный	кВ.А Р		КВ.А Р	
249	Миллиард киловатт - часов	10^9 кВт.ч		МЛРД КВТ.Ч	
250	Тысяча киловольт - ампер реактивных	1000 кВ.А Р		ТЫС КВ.А Р	
251	Лошадиная сила	л. с		ЛС	
252	Тысяча лошадиных сил	1000 л. с		ТЫС ЛС	
253	Миллион лошадиных сил	10^6 л. с		МЛН ЛС	
254	Бит	бит		БИТ	
255	Байт	байт		БАЙТ	
256	Килобайт	кбайт		КБАЙТ	
257	Мегабайт	Мбайт		МБАЙТ	
258	Бод	бод		БОД	
287	Генри	Гн		ГН	
313	Тесла	Тл		ТЛ	
317	Килограмм на квадратный сантиметр	кг/см^2		КГ/СМ2	
337	Миллиметр водяного столба	мм вод. ст		ММ ВОД СТ	
338	Миллиметр ртутного столба	мм рт. ст		ММ РТ СТ	
339	Сантиметр водяного столба	см вод. ст		СМ ВОД СТ	
352	Микросекунда	мкс		МКС	
353	Миллисекунда Эк	млс		МЛС	
383	Рубль	руб		РУБ	
384	Тысяча рублей	1000 руб		ТЫС РУБ	
385	Миллион рублей	10^6 руб		МЛН РУБ	
386	Миллиард рублей	10^9 руб		МЛРД РУБ	
387	Триллион рублей	10^12 руб		ТРИЛЛ РУБ	
388	Квадрильон рублей	10^15 руб		КВАДР РУБ	
414	Пассажиро - километр	пасс. км		ПАСС.КМ	
421	Пассажирское место (пассажирских мест)	пасс. мест		ПАСС МЕСТ	
423	Тысяча пассажиро - километров	1000 пасс. км		ТЫС ПАСС.КМ	
424	Миллион пассажиро - километров	10^6 пасс. км		МЛН ПАСС.КМ	
427	Пассажиропоток	пасс. поток		ПАСС. ПОТОК	
449	Тонно - километр	т. км		Т.КМ	
450	Тысяча тонно - километров	1000 т. км		ТЫС Т.КМ	
451	Миллион тонно - километров	10^6 т. км		МЛН Т.КМ	
479	Тысяча наборов	10^3  набор		ТЫС НАБОР	
510	Грамм на киловатт - час	г/кВт.ч		Г/КВТ.Ч	
511	Килограмм на гигакалорию	кг/Гкал		КГ/ГИГАКАЛ	
512	Тонно - номер	т. ном		Т.НОМ	
513	Автотонна	авто т		АВТО Т	
514	Тонна тяги	т.тяги		Т ТЯГИ	
515	Дедвейт-тонна	дедвейт.т		ДЕДВЕЙТ.Т	
516	Тонно-танид	т.танид		т.танид	
521	Человек на квадратный метр	чел/м2		ЧЕЛ/М2	
522	Человек на квадратный километр	чел/км2		ЧЕЛ/КМ2	
534	Тонна в час	т/ч		Т/Ч	
535	Тонна в сутки	т/сут		Т/СУТ	
536	Тонна в смену	т/смен		Т/СМЕН	
537	Тысяча тонн в сезон	1000 т/сез		ТЫС Т/СЕЗ	
538	Тысяча тонн в год	1000 т/год		ТЫС Т/ГОД	
539	Человеко - час	чел. ч		ЧЕЛ.Ч	
540	Человеко - день	чел. дн		ЧЕЛ.ДН	
541	Тысяча человеко - дней	1000 чел. дн		ТЫС ЧЕЛ.ДН	
542	Тысяча человеко - часов	1000 чел. ч		ТЫС ЧЕЛ.Ч	
543	Тысяча условных банок в смену	1000 усл. банк/смен		ТЫС УСЛ БАНК/СМЕН	
544	Миллион единиц в год	10^6 ед/год		МЛН ЕД/ГОД	
545	Посещение в смену	посещ/смен		ПОСЕЩ/СМЕН	
546	Тысяча посещений в смену	1000 посещ/смен		ТЫС ПОСЕЩ/СМЕН	
547	Пара в смену	пар/смен		ПАР/СМЕН	
548	Тысяча пар в смену	1000 пар/смен		ТЫС ПАР/СМЕН	
550	Миллион тонн в год	10^6 т/год		МЛН Т/ГОД	
552	Тонна переработки в сутки	т перераб/сут		Т ПЕРЕРАБ/СУТ	
553	Тысяча тонн переработки в сутки	1000 т перераб/сут		ТЫС Т ПЕРЕРАБ/СУТ	
554	Центнер переработки в сутки	ц перераб/сут		Ц ПЕРЕРАБ/СУТ	
555	Тысяча центнеров переработки в сутки	1000 ц перераб/сут		ТЫС Ц ПЕРЕРАБ/СУТ	
556	Тысяча голов в год	1000 гол/год		ТЫС ГОЛ/ГОД	
557	Миллион голов в год	10^6 гол/год		МЛН ГОЛ/ГОД	
558	Тысяча птицемест	1000 птицемест		ТЫС ПТИЦЕМЕСТ	
559	Тысяча кур - несушек	1000 кур. несуш		ТЫС КУР. НЕСУШ	
560	Минимальная заработная плата	мин. заработн. плат		МИН ЗАРАБОТН ПЛАТ	
561	Тысяча тонн пара в час	1000 т пар/ч		ТЫС Т ПАР/Ч	
562	Тысяча прядильных веретен	10^3  пряд.верет		ТЫС ПРЯД ВЕРЕТ	
563	Тысяча прядильных мест	10^3  пряд.мест		ТЫС ПРЯД МЕСТ	
639	Доза	доз		ДОЗ	
640	Тысяча доз	1000 доз		ТЫС ДОЗ	
642	Единица	ед		ЕД	
643	Тысяча единиц	1000 ед		ТЫС ЕД	
644	Миллион единиц	10^6 ед		МЛН ЕД	
661	Канал	канал		КАНАЛ	
673	Тысяча комплектов	10^3  компл		ТЫС КОМПЛ	
698	Место	мест		МЕСТ	
699	Тысяча мест	1000 мест		ТЫС МЕСТ	
709	Тысяча номеров	10^3  ном		ТЫС НОМ	
724	Тысяча гектаров порций	10^3  га порц		ТЫС ГА ПОРЦ	
729	Тысяча пачек	10^3  пач		ТЫС ПАЧ	
744	Процент	%		ПРОЦ	
746	Промилле (0,1 процента)	промилле		ПРОМИЛЛЕ	
751	Тысяча рулонов	1000 рул		ТЫС РУЛ	
761	Тысяча станов	10^3  стан		ТЫС СТАН	
762	Станция	станц		СТАНЦ	
775	Тысяча тюбиков	10^3  тюбик		ТЫС ТЮБИК	
776	Тысяча условных тубов	10^3  усл.туб		ТЫС УСЛ ТУБ	
779	Миллион упаковок	10^6 упак		МЛН УПАК	
782	Тысяча упаковок	10^3  упак		ТЫС УПАК	
792	Человек	чел		ЧЕЛ	
793	Тысяча человек	1000 чел		ТЫС ЧЕЛ	
794	Миллион человек	10^6 чел		МЛН ЧЕЛ	
808	Миллион экземпляров	10^6  экз		МЛН ЭКЗ	
810	Ячейка	яч		ЯЧ	
812	Ящик	ящ		ЯЩ	
836	Голова	гол		ГОЛ	
837	Тысяча пар	1000 пар		ТЫС ПАР	
838	Миллион пар	10^6 пар		МЛН ПАР	
839	Комплект	компл		КОМПЛ	
840	Секция	секц		СЕКЦ	
868	Бутылка	бут		БУТ	
869	Тысяча бутылок	1000 бут		ТЫС БУТ	
870	Ампула	ампул		АМПУЛ	
871	Тысяча ампул	1000 ампул		ТЫС АМПУЛ	
872	Флакон	флак		ФЛАК	
873	Тысяча флаконов	1000 флак		ТЫС ФЛАК	
874	Тысяча тубов	1000 туб		ТЫС ТУБ	
875	Тысяча коробок	1000 кор		ТЫС КОР	
876	Условная единица	усл. ед		УСЛ ЕД	
877	Тысяча условных единиц	1000 усл. ед		ТЫС УСЛ ЕД	
878	Миллион условных единиц	10^6 усл. ед		МЛН УСЛ ЕД	
879	Условная штука	усл. шт		УСЛ ШТ	
880	Тысяча условных штук	1000 усл. шт		ТЫС УСЛ ШТ	
881	Условная банка	усл. банк		УСЛ БАНК	
882	Тысяча условных банок	1000 усл. банк		ТЫС УСЛ БАНК	
883	Миллион условных банок	10^6 усл. банк		МЛН УСЛ БАНК	
884	Условный кусок	усл. кус		УСЛ КУС	
885	Тысяча условных кусков	1000 усл. кус		ТЫС УСЛ КУС	
886	Миллион условных кусков	10^6 усл. кус		МЛН УСЛ КУС	
887	Условный ящик	усл. ящ		УСЛ ЯЩ	
888	Тысяча условных ящиков	1000 усл. ящ		ТЫС УСЛ ЯЩ	
889	Условная катушка	усл. кат		УСЛ КАТ	
890	Тысяча условных катушек	1000 усл. кат		ТЫС УСЛ КАТ	
891	Условная плитка	усл. плит		УСЛ ПЛИТ	
892	Тысяча условных плиток	1000 усл. плит		ТЫС УСЛ ПЛИТ	
893	Условный кирпич	усл. кирп		УСЛ КИРП	
894	Тысяча условных кирпичей	1000 усл. кирп		ТЫС УСЛ КИРП	
895	Миллион условных кирпичей	10^6 усл. кирп		МЛН УСЛ КИРП	
896	Семья	семей		СЕМЕЙ	
897	Тысяча семей	1000 семей		ТЫС СЕМЕЙ	
898	Миллион семей	10^6 семей		МЛН СЕМЕЙ	
899	Домохозяйство	домхоз		ДОМХОЗ	
900	Тысяча домохозяйств	1000 домхоз		ТЫС ДОМХОЗ	
901	Миллион домохозяйств	10^6 домхоз		МЛН ДОМХОЗ	
902	Ученическое место	учен. мест		УЧЕН МЕСТ	
903	Тысяча ученических мест	1000 учен. мест		ТЫС УЧЕН МЕСТ	
904	Рабочее место	раб. мест		РАБ МЕСТ	
905	Тысяча рабочих мест	1000 раб. мест		ТЫС РАБ МЕСТ	
906	Посадочное место	посад. мест		ПОСАД МЕСТ	
907	Тысяча посадочных мест	1000 посад. мест		ТЫС ПОСАД МЕСТ	
908	Номер	ном		НОМ	
909	Квартира	кварт		КВАРТ	
910	Тысяча квартир	1000 кварт		ТЫС КВАРТ	
911	Койка	коек		КОЕК	
912	Тысяча коек	1000 коек		ТЫС КОЕК	
913	Том книжного фонда	том книжн. фонд		ТОМ КНИЖН ФОНД	
914	Тысяча томов книжного фонда	1000 том. книжн. фонд		ТЫС ТОМ КНИЖН ФОНД	
915	Условный ремонт	усл. рем		УСЛ РЕМ	
916	Условный ремонт в год	усл. рем/год		УСЛ РЕМ/ГОД	
917	Смена	смен		СМЕН	
918	Лист авторский	л. авт		ЛИСТ АВТ	
920	Лист печатный	л. печ		ЛИСТ ПЕЧ	
921	Лист учетно - издательский	л. уч.-изд		ЛИСТ УЧ.ИЗД	
922	Знак	знак		ЗНАК	
923	Слово	слово		СЛОВО	
924	Символ	символ		СИМВОЛ	
925	Условная труба	усл. труб		УСЛ ТРУБ	
930	Тысяча пластин	10^3  пласт		ТЫС ПЛАСТ	
937	Миллион доз	10^6  доз		МЛН ДОЗ	
949	Миллион листов-оттисков	10^6  лист.оттиск		МЛН ЛИСТ.ОТТИСК	
950	Вагоно(машино)-день	ваг (маш).дн		ВАГ (МАШ).ДН	
951	Тысяча вагоно-(машино)-часов	10^3  ваг (маш).ч		ТЫС ВАГ (МАШ).Ч	
952	Тысяча вагоно-(машино)-километров	10^3  ваг (маш).км		ТЫС ВАГ (МАШ).КМ	
953	Тысяча место-километров	10^3  мест.км		ТЫС МЕСТ.КМ	
954	Вагоно-сутки	ваг.сут		ВАГ.СУТ	
955	Тысяча поездо-часов	10^3  поезд.ч		ТЫС ПОЕЗД.Ч	
956	Тысяча поездо-километров	10^3  поезд.км		ТЫС ПОЕЗД.КМ	
957	Тысяча тонно-миль	10^3  т.миль		ТЫС Т.МИЛЬ	
958	Тысяча пассажиро-миль	10^3  пасс.миль		ТЫС ПАСС.МИЛЬ	
959	Автомобиле-день	автомоб.дн		АВТОМОБ.ДН	
960	Тысяча автомобиле-тонно-дней	10^3  автомоб.т.дн		ТЫС АВТОМОБ.Т.ДН	
961	Тысяча автомобиле-часов	10^3  автомоб.ч		ТЫС АВТОМОБ.Ч	
962	Тысяча автомобиле-место-дней	10^3  автомоб.мест. дн		ТЫС АВТОМОБ.МЕСТ. ДН	
963	Приведенный час	привед.ч		ПРИВЕД.Ч	
964	Самолето-километр	самолет.км		САМОЛЕТ.КМ	
965	Тысяча километров	10^3  км		ТЫС КМ	
966	Тысяча тоннаже-рейсов	10^3  тоннаж. рейс		ТЫС ТОННАЖ. РЕЙС	
967	Миллион тонно-миль	10^6  т. миль		МЛН Т. МИЛЬ	
968	Миллион пассажиро-миль	10^6  пасс. миль		МЛН ПАСС. МИЛЬ	
969	Миллион тоннаже-миль	10^6  тоннаж. миль		МЛН ТОННАЖ. МИЛЬ	
970	Миллион пассажиро-место-миль	10^6  пасс. мест. миль		МЛН ПАСС. МЕСТ. МИЛЬ	
971	Кормо-день	корм. дн		КОРМ. ДН	
972	Центнер кормовых единиц	ц корм ед		Ц КОРМ ЕД	
973	Тысяча автомобиле-километров	10^3  автомоб. км		ТЫС АВТОМОБ. КМ	
974	Тысяча тоннаже-сут	10^3  тоннаж. сут		ТЫС ТОННАЖ. СУТ	
975	Суго-сутки	суго. сут.		СУГО. СУТ	
976	Штук в 20-футовом эквиваленте (ДФЭ)	"штук в 20-футовом
эквиваленте"		ШТ В 20 ФУТ ЭКВИВ	
977	Канало-километр	канал. км		КАНАЛ. КМ	
978	Канало-концы	канал. конц		КАНАЛ. КОНЦ	
979	Тысяча экземпляров	10^3  экз		ТЫС ЭКЗ	
980	Тысяча долларов	10^3  доллар		ТЫС ДОЛЛАР	
981	Тысяча тонн кормовых единиц	10^3  корм ед		ТЫС Т КОРМ ЕД	
982	Миллион тонн кормовых единиц	10^6  корм ед		МЛН Т КОРМ ЕД	
983	Судо-сутки	суд.сут		СУД.СУТ	
984	Центнеров с гектара	ц/га		Ц/ГА	
985	Тысяча голов	10^3  гол		ТЫС ГОЛ	
986	Тысяча краско-оттисков	10^3  краск. оттиск		ТЫС КРАСК ОТТИСК	
987	Миллион краско-оттисков	10^6  краск. оттиск		МЛН КРАСК ОТТИСК	
988	Миллион условных плиток	10^6  усл. плит		МЛН УСЛ ПЛИТ	
989	Человек в час	чел/ч		ЧЕЛ/Ч	
990	Пассажиров в час	пасс/ч		ПАСС/Ч	
991	Пассажиро-миля	пасс. миля		ПАСС МИЛЯ	
2553	Гигабайт	Гбайт		ГБАЙТ	
2554	Терабайт	Тбайт		ТБАЙТ	
2555	Петабайт	Пбайт		ПБАЙТ	
